mouse ID,sex,BP_salt,D1Mit296,D1Mit123,D1Mit156,D1Mit178,D1Mit19,D1Mit7,D1Mit46,D1Mit132,D1Mit334,D1Mit305,D1Mit26,D1Mit94,D1Mit218,D1Mit100,D1Mit102,D1Mit105,D1Mit14,D1Mit159,D1Mit267,D1Mit15,D1Mit456,D1Mit155,D2Mit359,D2Mit82,D2Mit241,D2Mit14,D2Mit62,D2Mit280,D2Mit229,D2Mit266,D3Mit164,D3Mit6,D3Mit11,D3Mit14,D3Mit44,D3Mit19,D4Mit149,D4Mit41,D4Mit108,D4Mit237,D4Mit286,D4Mit214,D4Mit53,D4Mit89,D4Mit111,D4Mit288,D4Mit164,D4Mit178,D4Mit80,D4Mit81,D4Mit276,D4Mit152,D4Mit302,D4Mit175,D4Mit16,D4Mit14,D5Mit193,D5Mit61,D5Mit387,D5Mit148,D5Mit13,D5Mit55,D5Mit312,D5Mit188,D5Mit213,D5Mit31,D5Mit99,D5Mit101,D5Mit409,D5Mit169,D6Mit86,D6Mit273,D6Mit188,D6Mit8,D6Mit213,D6Mit36,D6Mit135,D6Mit59,D6Mit295,D6Mit15,D6Mit201,D7Mit306,D7Mit25,D7Mit297,D7Mit30,D7Mit37,D7Mit71,D7Nds4,D8Mit3,D8Mit292,D8Mit25,D8Mit45,D8Mit271,D8Mit156,D9Mit297,D9Mit27,D9Mit8,D9Mit24,D9Mit18,D10Mit166,D10Mit214,D10Mit11,D10Mit14,D10Mit297,D11Mit74,D11Mit78,D11Mit2,D11Mit80,D11Mit79,D11Mit82,D11Mit163,D11Mit110,D11Mit136,D11Mit20,D11Mit310,D11Mit35,D11Mit67,D11Mit48,D12Mit37,D12Mit110,D12Mit34,D12Mit118,D12Mit20,D13Mit16,D13Mit59,D13Mit91,D13Mit148,D13Mit78,D14Mit48,D14Mit14,D14Mit37,D14Mit7,D14Mit266,D15Mit175,D15Mit11,D15Mit53,D15Mit56,D15Mit22,D15Mit206,D15Mit111,D15Mit152,D15Mit156,D15Mit108,D15Mit79,D16Mit32,D16Mit4,D16Mit171,D16Mit5,D16Mit70,D16Mit106,D17Mit164,D17Mit143,D17Mit113,D17Mit57,D17Mit131,D17Mit46,D17Mit45,D17Mit23,D17Mit11,D17Mit10,D17Mit53,D17Mit221,D18Mit67,D18Mit17,D18Mit50,D18Mit4,D19Mit59,D19Mit40,D19Mit53,D19Mit137,DXMit55,DXMit22,DXMit16,DXMit130
,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,19,19,X,X,X,X
,,,2.078,17.6702,33.31,34.258,38.008,38.5545,39.162,39.511,41.37,44.9504,50.839,54.7,55.7582,62.5559,63.32,69.755,67.708,69.032,67.708,76.254,79.9586,98.2021,6.2504,18.23,27.371,49.683,59.343,71.2855,88.993,103.8287,2.0125,21.667,43.711,61.11,72.4256,80.73,2.0417,16.859,19.9172,22.6144,22.9998,24.1603,25.1454,24.6641,28.35,31.658,32.541,34.919,37.42,37.888,39.29,39.462,40.2512,45.706,61.6656,80.9939,2.3557,9.95,14.392,17.33,20.1731,28.2438,47.291,57.5091,64.8084,76.27,80.2,80.1574,85.165,89.176,1.806,22.5066,32.5284,35.94,38.1601,48.928,63.0951,69.363,78.03,77.701,77.701,6.4223,23.3479,35.2812,45.707,54.853,73.49,88.8573,12.8625,21.159,33.46,42.157,60.8619,76.095,18.242,27.754,42.6486,55.069,71.4875,2.061,12.5126,46.9746,66.746,72.313,3.5172,10.439,9.79,13.0499,12.3511,15.631,16.0584,24.27,24.503,27.2251,32.133,51,61.49,82.957,2.591,22.115,28.936,44.9262,62.103,7.2577,14.27,24.497,59.692,67.21,7.08,16.796,33.2116,44.984,64.8577,3.9624,4.395,6.294,14.456,15.102,16.6958,13.019,17.41,32.192,47.7916,58.9747,2.3314,25.429,33.9701,34.2201,48.8062,57.6827,2.107,4.925,8.1371,7.647,8.8599,12.533,15.34,15.3861,19.72,23.95,38.6411,59.7714,6.0184,21.088,40.139,57.534,4.2979,20.3777,38.4581,54.6048,3.307,29.312,43.89,55.4512
100,1,109.6,H,H,H,-,H,H,-,-,H,H,H,B,-,B,B,B,B,-,-,B,B,B,B,B,B,B,B,B,H,H,B,H,H,B,B,B,H,B,-,-,-,B,-,-,B,B,-,B,-,-,-,-,B,B,B,B,B,-,B,B,B,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,B,B,B,B,-,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,-,-,H,H,-,H,-,-,H,B,B,B,H,B,B,B,H,H,H,H,H,H,-,H,H,H,H,-,B,B,B,B,-,-,B,B,B,B,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,H,H,H,B
101,1,109.8,H,H,H,B,B,B,-,-,B,B,B,B,-,B,B,B,B,-,-,B,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,-,-,-,B,-,-,B,B,-,B,B,B,B,B,H,H,H,H,B,-,B,B,B,H,H,H,H,B,B,-,B,B,B,H,H,H,H,H,B,B,B,B,-,H,H,B,B,B,B,H,B,H,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,-,-,-,B,B,-,B,-,-,B,B,B,H,B,B,B,B,B,H,H,H,B,B,-,B,B,B,B,-,B,B,B,B,-,-,B,B,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H
102,1,110.1,B,B,B,-,B,B,-,-,B,H,H,H,-,H,H,H,H,-,-,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,B,-,-,-,B,-,-,B,B,-,B,-,-,-,-,B,B,B,B,H,-,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,H,H,H,-,H,H,H,H,H,B,B,B,B,B,B,B,B,H,B,B,B,B,B,H,H,B,B,H,-,-,-,H,H,-,H,-,-,H,B,B,B,B,B,B,B,B,H,H,H,B,B,-,B,B,B,B,-,B,B,B,B,-,-,B,B,B,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,B,B,B,B,B,B,H
104,1,110.6,H,H,H,H,B,B,-,-,B,B,B,B,-,B,B,B,B,-,-,B,B,B,H,B,B,B,B,B,B,H,B,B,B,B,H,H,B,B,-,-,-,B,-,-,B,B,-,B,-,-,-,-,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,B,B,H,B,B,B,B,B,H,-,-,-,H,H,-,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,B,B,B,B,-,H,H,H,H,-,-,H,H,B,B,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H
105,1,115,H,H,B,-,B,B,-,-,B,B,B,B,-,B,B,B,B,B,B,H,H,B,B,B,B,B,B,B,H,H,B,H,H,H,H,H,B,B,-,-,-,B,-,-,B,B,-,B,B,B,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,B,-,B,B,B,H,H,H,H,H,H,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,H,H,H,B,B,B,B,-,-,-,B,B,-,B,-,-,B,B,B,B,H,H,H,H,B,B,H,H,H,H,-,H,H,H,H,-,H,H,H,H,-,-,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,H,H,B,B,H,H,B,B,H,H
108,1,109.8,B,B,B,-,B,B,-,-,B,B,B,B,-,B,B,B,B,B,B,H,B,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,-,-,-,B,-,-,B,B,-,B,-,-,-,-,B,H,H,H,B,-,B,B,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,H,B,B,B,B,H,B,B,H,H,H,H,-,-,-,H,H,-,H,-,-,H,H,H,H,H,H,B,B,B,H,H,B,H,H,-,H,H,B,B,-,B,B,B,B,-,-,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,H
109,1,114.4,H,H,H,H,B,B,-,-,B,B,B,B,-,B,B,B,B,-,-,B,B,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,B,B,-,-,-,B,-,-,B,B,-,B,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,-,H,H,B,B,H,H,H,H,H,H,B,B,-,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,B,H,H,-,H,H,-,H,-,-,H,B,B,B,H,H,H,H,H,H,H,H,B,B,-,H,H,H,H,-,B,B,B,B,-,-,B,B,B,B,H,H,H,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,H,H,H,B,B,H,H
110,1,113.4,B,B,B,-,B,B,B,H,H,H,H,H,H,B,B,B,B,-,-,B,B,B,H,B,B,B,B,B,H,H,H,H,B,B,B,B,B,B,-,-,-,B,-,-,B,B,-,B,-,-,-,-,B,B,H,H,B,-,B,B,B,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,B,B,H,H,B,B,B,B,H,H,H,H,B,H,H,H,B,B,H,-,-,-,H,H,-,H,-,-,H,H,H,H,H,B,B,B,B,B,B,H,H,H,-,H,H,H,H,-,H,H,H,H,-,-,H,B,B,B,B,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,H,H,B,B,B,B
